sol colmaj,pts colmaj,,sol rowmaj,pts rowmaj
49306309,49246211,,68085669,78113667
47711236,50026264,,67806776,77768385
48645935,49348873,,68307208,77868963
48281433,50064350,,68042519,78563859
48611518,49711403,,68058252,78414067
48345677,48892888,,68739094,78536253
48527125,49406435,,68139959,79328689
49192209,49549729,,67544079,78541795
47879498,49861476,,68938639,78262383
48386781,49323614,,68710065,77499192
48663065,49295874,,68941545,78090993
48192230,49618100,,68357643,78411516
49769359,49107870,,68361744,77815791
48454580,49694909,,68061207,78139606
48655592,49859619,,68036638,77846884
47848439,50515838,,68257392,78061859
47928346,50240550,,68151899,77536704
48812168,49847734,,68533231,78216340
48142205,49578626,,68167061,78657849
49559139,48869968,,68026118,78930805
48178334,49944837,,69295226,77851890
48269771,49401281,,,
48897342,49257098,,,
47912853,49484934,,,
48935655,48980907,,,
48861903,49896021,,,
48703412,49249816,,,
47989646,50661890,,,
48585708,49286881,,,
47981932,49371646,,,
47978420,49450113,,,
49431264,49354956,,,
48335777,49920396,,,
48600455,49647059,,,
48035904,50009073,,,
,,,,
,,,,
,,,,
47711236,48869968,,67544079,77499192
,,,,
,,,,
,,,,
,,,1.41568495521684,1.58582448836472
