Laser ID #,Elevation Angle (degree),Azimuth offset,,
1,15,-1.042,,
2,11,-1.042,,
3,8,-1.042,,
4,5,-1.042,, 
5,3,-1.042,,
6,2,-1.042,,
7,1.67,3.125,,
8,1.33,-5.208,,
9,1,-1.042,,
10,0.67,3.125,,
11,0.33,-5.208,,
12,0,-1.042,,
13,-0.33,3.125,,
14,-0.67,-5.208,,
15,-1,-1.042,,
16,-1.33,3.125,,
17,-1.67,-5.208,,
18,-2,-1.042,,
19,-2.33,3.125,,
20,-2.67,-5.208,,
21,-3,-1.042,,
22,-3.33,3.125,,
23,-3.67,-5.208,,
24,-4,-1.042,,
25,-4.33,3.125,,
26,-4.67,-5.208,,
27,-5,-1.042,,
28,-5.33,3.125,,
29,-5.67,-5.208,,
30,-6,-1.042,,
31,-7,-1.042,,
32,-8,-1.042,,
33,-9,-1.042,,
34,-10,-1.042,,
35,-11,-1.042,,
36,-12,-1.042,,
37,-13,-1.042,,
38,-14,-1.042,,
39,-19,-1.042,,
40,-25,-1.042,,
