LaserID, ElevationAngle
0,22.5
1,19.67
2,16.83
3,14
4,12.58
5,11.16
6,9.74
7,9.04
8,8.33
9,7.62
10,6.91
11,6.2
12,5.49
13,4.78
14,4.07
15,3.72
16,3.37
17,3.01
18,2.66
19,2.3
20,1.95
21,1.59
22,1.24
23,0.89
24,0.53
25,0.18
26,-0.18
27,-0.53
28,-0.89
29,-1.24
30,-1.59
31,-1.95
32,-2.3
33,-2.66
34,-3.01
35,-3.37
36,-3.72
37,-4.07
38,-4.43
39,-4.78
40,-5.14
41,-5.49
42,-5.85
43,-6.2
44,-6.56
45,-6.91
46,-7.26
47,-7.62
48,-7.97
49,-8.33
50,-9.04
51,-9.74
52,-10.45
53,-11.16
54,-11.87
55,-12.58
56,-13.29
57,-14
58,-15.41
59,-16.83
60,-18.25
61,-19.67
62,-21.08
63,-22.5
